bsf: 1.25
act: 46830


runBB: 0.35
run1B: 0.52
run2B: 0.82
run3B: 1.11
runHR: 1.42
rnBIP: -0.07

runs-: 0.29
runs+: 0.59
wobas: 1.14

wobaBB: 0.72
woba1B: 0.91
woba2B: 1.26
woba3B: 1.59
wobaHR: 1.94

  |   H%  |  XB%  |  HR%  |  BB%  |   K%  |  wOBA |
3B Buchanan, P     19|  67/ 80      71/ 66 -26/-12 |  93 ( 85) | -3-8---- |  + | IF,H          |              |         |    p3246 | Cincinnati Reds      | ++-
RF Montiel, L      21|  72/ 82      73/ 72 -21/-12 |  93 ( 85) | -2---2-3 |  + | OF,H          |              |         |    p2620 | Cincinnati Reds      | +-
SS Unkei, S        18|  57/ 81/ 79  59/ 57 -36/-13 |  92 ( 84) | -39-8--- |    | SS,IF,H       |              |         | 2B p1080 | Cincinnati Reds      | ++
2B Kemmerer, R     23|  75/ 82      79/ 74 -18/-10 |  92 ( 84) | -27----- | ++ | IF,H          |              |         |     p636 | Cincinnati Reds      | ++-
3B Klimas, G       18|  62/ 76      61/ 62 -31/-16 |  91 ( 83) | -3-5---- | ++ | IF,H          |              |         |    p2636 | Cincinnati Reds      | +-
CF Merida, I       22|  65/ 82/ 81  63/ 66 -28/-13 |  91 ( 83) | -2---262 |  + | CF,OF,H       |  9           |         |     p302 | Cincinnati Reds      | ++-
SP Sheely, D       24|  71/ 83      66/ 73 -32/-11 |  91 ( 83) |          |  + | SP,P          |  T           |         |    p1287 | Cincinnati Reds      | ++-
CF Wade, D         24|  70/ 82      69/ 71 -23/-12 |  91 ( 83) | -2---266 | ++ | CF,OF,H       |              |         |     p905 | Cincinnati Reds      | ++
 C Frisina, A      25|  74/ 81      76/ 73  -5/  2 |  90 ( 82) | 71------ |  + | C,H           |              |         |    p1763 | Cincinnati Reds      | ++
RF Hinojosa, J     18|  52/ 79/ 76  53/ 52 -41/-18 |  89 ( 81) | -2---5-7 |    | OF,H          |              |         |    p1672 | Cincinnati Reds      | ++
SP Machado, B      18|  62/ 75      62/ 62 -41/-19 |  89 ( 81) |          |  + | SP,P          |  5           |         |    p1438 | Cincinnati Reds      | +++
 C Colyer, W       22|  70/ 78      77/ 69  -9/ -1 |  89 ( 81) | 61------ | ++ | C,H           | F            |         |    p1356 | Cincinnati Reds      | ++
 C Masahide, R     22|  70/ 79      77/ 69  -9/  0 |  89 ( 81) | 5------- |  + | C,H           |              |         |    p1245 | Cincinnati Reds      | +
LF Rouillard, J    22|  62/ 80/ 79  58/ 62 -31/-15 |  89 ( 81) | -2---5-3 |  + | OF,H          |              |         |    p2601 | Cincinnati Reds      | ++
CF Arceniaga, C    18|  54/ 76/ 74  50/ 54 -39/-20 |  88 ( 80) | -2---644 |  + | CF,OF,H       |              |         |     p398 | Cincinnati Reds      | +
SP Porter, B       20|  66/ 76      64/ 67 -37/-18 |  88 ( 80) |          |  + | SP,P          |              |         |    p1710 | Cincinnati Reds      | +-
MR Maki, J         25|  75/ 80      81/ 90 -16/ -2 |  88 ( 80) |          | ++ | MR,P          |              |         |    p2400 | Cincinnati Reds      | ++++-
SP Robledo, R      21|  57/ 77/ 76  54/ 58 -46/-18 |  87 ( 79) |          |  + | SP,P          |  8           |         |    p1450 | Cincinnati Reds      | ++-
RF Skinner, S      25|  77/ 80      74/ 77 -16/-14 |  86 ( 78) | -2---2-4 |    | OF,H          |              |         |     p276 | Cincinnati Reds      | ++
2B Arreguin, O     20|  55/ 77/ 75  56/ 55 -38/-17 |  85 ( 77) | -26----- | -  | IF,H          |              |         |    p3154 | Cincinnati Reds      | ++
 C Resto, M        21|  61/ 77/ 76  63/ 60 -18/ -3 |  85 ( 77) | 6------- | -  | C,H           |              |         |    p2980 | Cincinnati Reds      | ++
 C Willey, L       21|  67/ 72      69/ 67 -12/ -7 |  84 ( 76) | 71------ | ++ | C,H           |              |         |     p320 | Cincinnati Reds      | +

**Houston Astros  ** |     OVR      vL/vR   vRpl   |           |          | XC | 
SP Sands, C        24| 101/124/123  99/102  -2/ 29 | 159 (145) |          | -+ | SP,P          |  1   $500k r |         |    p2463 | Houston Astros       | +++++
SS Moncada, Y      21| 113/116     109/113  20/ 24 | 152 (138) | -37653-- | ++ | SS,IF,OF,H    |     $3.64M a | $11.66M | 3B p4720 | Houston Astros       | ****
1B Pujols, J       30| 115/115     105/117  22/ 21 | 139 (126) | -2------ |  - | H             |    $13.78Mx3 | $12.75M |     p644 | Houston Astros       | **^
SP Bradley, A      33| 115/115     124/111  12/ 21 | 137 (125) |          |  + | SP,P          |       $10Mx2 |  $7.26M |    p3999 | Houston Astros       | ***
 C Zamora, D       30| 105/105     114/103  26/ 26 | 135 (123) | 4------- |  + | C,H           |       $10Mx3 | $14.95M |    p2955 | Houston Astros       | **^
SS Profar, J       33| 114/114     116/114  21/ 22 | 135 (123) | -3877--- |  - | SS,IF,H       | F   $24.5M   | $12.21M |    p3801 | Houston Astros       | **^
SP Thurman, A      34| 115/114     116/115  12/ 20 | 135 (123) |          | ++ | SP,P          | F   $1.35M   |  $7.26M |    p4309 | Houston Astros       | **^
CF Mazara, N       30| 111/111     108/112  18/ 17 | 133 (121) | -6---657 |  + | CF,OF,H       |      $9.4Mx2 | $10.56M | LF p4696 | Houston Astros       | ***
SP Lamb, J         35| 119/115     103/129  16/ 21 | 133 (121) |          |  + | SP,P          |        $9Mx2 |  $9.46M |     p537 | Houston Astros       | **^
MR Danish, T       31| 102/102     125/115  14/ 22 | 127 (116) |          |  + | MR,P          |        $4Mx2 |  $8.36M |    p4391 | Houston Astros       | **^
CF Erskine, J      28| 107/107     108/107  14/ 13 | 126 (115) | -2---777 |    | CF,OF,H       |     $1.09M a |  $8.36M |     p530 | Houston Astros       | **^
SP Medina, A       27| 105/105     103/106   2/ 11 | 124 (113) |          | ++ | SP,P          |      $500k r |  $1.77M |     p324 | Houston Astros       | **^
MR Enyeart, D      24|  68/101/ 97  77/ 80 -24/ 17 | 122 (111) |          |  + | MR,P          |              |         | CL  p369 | Houston Astros       | +++++
2B Wallace, W      27| 104/104     104/104  11/ 12 | 122 (111) | -25----- | -+ | IF,H          |     $2.29M a |  $6.71M |    p1589 | Houston Astros       | ***
2B Holyfield, M    28| 104/104      92/106  11/ 12 | 122 (111) | -64----- |  + | IF,H          |      $1.7M a |  $6.71M | DH  p543 | Houston Astros       | *****
3B Isaacs, J       23|  76/104/102  76/ 76 -17/ 10 | 121 (110) | -7-6---- |  + | IF,H          |  4           |         |    p2849 | Houston Astros       | ++++-
SS Peraza, J       31| 105/105     105/105  12/ 13 | 121 (110) | -3889763 |  + | SS,CF,IF,OF,H | F   $3.07M   |  $7.26M | CF p4553 | Houston Astros       | **^
SP Tanaka, M       37| 119/103     114/121  16/  9 | 120 (109) |          |  + | SP,P          | F   $1.07M   |  $9.46M | MR   p10 | Houston Astros       | *^
CF Whitcomb, S     21|  79/101/100  71/ 81 -14/  6 | 115 (105) | -3---793 | -  | CF,OF,H       |  3           |         | LF p2379 | Houston Astros       | ++++-
1B Iñiguez, B      24|  81/103/102  83/ 81 -12/  8 | 115 (105) | -3------ | -- | H             |  2           |         |    p2410 | Houston Astros       | +++++
RF Freeman, J      29| 103/103     103/103  10/  9 | 115 (105) | -1---3-3 | -- | OF,H          |      $550k a |  $6.16M | LF  p155 | Houston Astros       | **^
MR Price, M        36| 103/ 95     136/112  16/ 14 | 110 (100) |          |    | MR,P          | F    $4.1M   |  $9.46M |    p1662 | Houston Astros       | **^
 C Murphy, T       31|  93/ 93      98/ 92  14/ 14 | 109 ( 99) | 63------ |    | C,H           | F   $2.78M   |  $8.36M |    p4458 | Houston Astros       | **
MR Carr, E         34|  96/ 95     109/112   7/ 14 | 107 ( 97) |          | -  | MR,P          | F    $8.2M   |  $4.52M | CL  p885 | Houston Astros       | ***
RF Schwarber, K    29|  96/ 96      93/ 97   3/  2 | 104 ( 95) | -2---3-5 |  + | OF,H          |              |  $2.32M |    p2797 | Houston Astros       | *
RF Hernandez, D    21|  72/ 93/ 92  67/ 73 -21/ -2 | 103 ( 94) | -1-----3 |  + | OF,H          |              |         |    p1929 | Houston Astros       | ++-
 C Deveau, J       25|  81/ 88      90/ 80   2/  9 | 103 ( 94) | 4------- |    | C,H           |              |  $1.77M |    p1171 | Houston Astros       | ++
MR Castaneda, R    21|  74/ 87      92/ 82 -17/  5 | 102 ( 93) |          | +- | MR,P          |              |         |    p1587 | Houston Astros       | +++++
SP Jackson, J      20|  73/ 92/ 91  76/ 71 -30/ -3 | 101 ( 92) |          |  - | SP,P          |  6           |         |    p3342 | Houston Astros       | ++++
SP Stanek, R       34|  99/ 98     102/ 98  -4/  4 | 101 ( 92) |          |    | SP,P          | F    $770k   |         | MR p4413 | Houston Astros       | **^
RF Bruce, J        38| 109/ 84      97/111  16/-10 | 100 ( 91) | -4---2-7 |    | OF,H          | F      $5M   |  $9.46M |    p2785 | Houston Astros       | ***
SS Allen, L        17|  65/ 86/ 85  70/ 63 -28/ -7 |  99 ( 90) | -3868--- |    | SS,IF,H       |  9           |         |    p3133 | Houston Astros       | +++
CF Dahl, D         32|  95/ 95      96/ 95   2/  1 |  97 ( 88) | -2---878 |  - | CF,OF,H       | F   $1.44M   |  $1.77M | RF p4177 | Houston Astros       | **
MR Gorski, H       21|  59/ 87/ 84  75/ 65 -33/  2 |  96 ( 87) |          |    | MR,P          |              |         |    p2109 | Houston Astros       | +++++
CF Machado, R      21|  68/ 86/ 85  72/ 67 -25/ -9 |  96 ( 87) | -2---252 |  + | CF,OF,H       |              |         |    p2096 | Houston Astros       | ++-
LF Vizcarrondo, G  19|  59/ 87/ 84  52/ 60 -34/-10 |  95 ( 86) | -2---6-3 | -  | OF,H          |              |         |    p1847 | Houston Astros       | ++-
SP Mijares, D      22|  80/ 86      83/ 79 -23/ -8 |  95 ( 86) |          |    | SP,P          |  5           |         |      p72 | Houston Astros       | ++++
RF Dresser, D      24|  73/ 87      77/ 73 -20/ -7 |  95 ( 86) | -3---337 |  + | CF,OF,H       |              |         |     p344 | Houston Astros       | +++
2B Rivas, J        26|  83/ 90      81/ 83 -10/ -2 |  95 ( 86) | -35----- |  - | IF,H          | F            |         |     p595 | Houston Astros       | *
SS Barreto, F      30|  92/ 92      93/ 91  -1/  0 |  95 ( 86) | -4999--- |    | SS,IF,H       |      $550k a | $673.2k |    p4687 | Houston Astros       | *^
LF McCormick, G    21|  64/ 84/ 83  68/ 63 -29/-11 |  94 ( 86) | -4---4-3 |  + | OF,H          |              |         | 1B  p878 | Houston Astros       | +++
LF Washington, M   21|  62/ 85/ 83  56/ 63 -31/-11 |  94 ( 86) | -2---5-2 |  + | OF,H          |              |         |    p2645 | Houston Astros       | ++
1B Encarnacion, L  33|  93/ 93      92/ 93   0/ -1 |  94 ( 86) | -3------ |  + | H             |      $550k a | $673.2k |    p1226 | Houston Astros       | **
1B Reyes, R        20|  74/ 81      77/ 73 -19/-13 |  93 ( 85) | -3------ |  + | H             |              |         |    p1586 | Houston Astros       | ++-
3B Calabro, M      24|  72/ 85      71/ 72 -21/ -7 |  93 ( 85) | -3-5---- |  + | IF,H          |              |         |    p1529 | Houston Astros       | ++
2B Alvarez, C      24|  70/ 83      72/ 70 -23/ -9 |  92 ( 84) | -27----- | ++ | IF,H          |              |         |    p1541 | Houston Astros       | ++-
CF Guida, J        18|  58/ 81/ 79  59/ 58 -35/-15 |  91 ( 83) | -2---766 |  - | CF,OF,H       |  8           |         |    p2187 | Houston Astros       | +++
SS Taunton, T      20|  55/ 81/ 78  49/ 56 -38/-14 |  91 ( 83) | -3666--- | ++ | SS,IF,H       |              |         | 3B p3344 | Houston Astros       | ++
2B Rasnick, T      23|  73/ 82      82/ 71 -20/-10 |  91 ( 83) | -24----- |  + | IF,H          |              |         |    p2352 | Houston Astros       | ++
SP Westbrooks, C   23|  73/ 81      68/ 75 -30/-13 |  90 ( 82) |          |  + | SP,P          |  T           |         |    p1034 | Houston Astros       | +++

**Milwaukee Bre...** |     OVR      vL/vR   vRpl   |           |          | XC | 
SP Juarez, A       30| 128/128     123/130  25/ 34 | 165 (150) |          |    | SP,P          |    $10.57Mx3 |  $14.4M |     p244 | Milwaukee Brewers    | ***
SP Carranza, A     26| 120/122     114/123  17/ 28 | 157 (143) |          |  + | SP,P          |      $500k a | $10.01M |    p2031 | Milwaukee Brewers    | ***^
SP Rodriguez, C    29| 120/120     110/124  17/ 26 | 151 (137) |          |  + | SP,P          |       $13Mx2 | $10.01M |    p4707 | Milwaukee Brewers    | **^
MR Vosburgh, D     27| 106/106     114/128  19/ 27 | 140 (127) |          |  + | MR,P          |      $500k r | $11.11M |    p1794 | Milwaukee Brewers    | **^
SP Bickford, K     28| 113/113     121/110  10/ 19 | 138 (126) |          |  + | SP,P          |      $575k a |  $6.16M |    p1870 | Milwaukee Brewers    | **^
 C Wine, L         26|  96/102      96/ 96  17/ 23 | 132 (120) | 83-6---- |  + | C,IF,H        |      $500k r | $10.01M |    p1308 | Milwaukee Brewers    | *
MR Moyers, W       25|  98/100     128/108  10/ 20 | 127 (116) |          |  + | MR,P          |    $608.6k a |  $6.16M |    p1885 | Milwaukee Brewers    | **^
CF De Leon, J      25|  93/106      93/ 93   0/ 12 | 126 (115) | -2---256 | ++ | CF,OF,H       |  1   $500k r | $673.2k |    p1653 | Milwaukee Brewers    | +++++
 C Torrens, L      27|  98/ 98      96/ 98  19/ 19 | 123 (112) | 33------ | -+ | C,H           |    $792.9k a | $11.11M |    p2135 | Milwaukee Brewers    | **^
CF Brinson, L      31| 106/106      94/109  13/ 12 | 121 (110) | -2---766 |    | CF,OF,H       | F   $3.04M   |  $7.81M | RF p4280 | Milwaukee Brewers    | **^
 C Harris, J       18|  75/ 91      78/ 75  -4/ 12 | 116 (106) | 4------- | -+ | C,H           |              |         |    p1553 | Milwaukee Brewers    | +++
CF Hoes, L         36| 105/ 96     102/106  12/  2 | 109 ( 99) | -5---555 | +  | CF,OF,H       |     $2.71Mx2 |  $7.26M |    p2292 | Milwaukee Brewers    | **^
SS Frey, G         22|  71/ 94/ 93  76/ 70 -22/  1 | 104 ( 95) | -3--7--- |  + | SS,IF,H       |  5           |         |     p461 | Milwaukee Brewers    | +++-
SS Harrison, T     33|  98/ 98      99/ 98   5/  6 | 104 ( 95) | -9686--- | -+ | SS,IF,H       | F   $1.81M   |  $3.42M | 1B p3880 | Milwaukee Brewers    | **^
1B Eusebio, J      28|  95/ 95      84/ 97   2/  1 | 103 ( 94) | -2------ |  + | H             |              |  $1.77M |    p2231 | Milwaukee Brewers    | *
CF Springer, G     36| 102/ 93     107/101   9/ -1 | 103 ( 94) | -2---777 |  + | CF,OF,H       |     $1.23Mx3 |  $5.62M | LF p3914 | Milwaukee Brewers    | **^
LF Santiago, G     21|  80/ 89      75/ 81 -13/ -5 | 100 ( 91) | -2---5-2 |  + | OF,H          |              |         |     p556 | Milwaukee Brewers    | ++
SS Schales, B      22|  78/ 90      74/ 79 -15/ -2 | 100 ( 91) | -26-5--- |  + | SS,IF,H       |  6           |         |     p101 | Milwaukee Brewers    | +++-
LF Goo, E          22|  64/ 91/ 89  57/ 65 -29/ -5 |  99 ( 90) | -2---5-2 |  + | OF,H          |  8           |         |    p1354 | Milwaukee Brewers    | +++
2B Boudet, A       23|  86/ 89      88/ 85  -7/ -3 |  98 ( 89) | -38----- |  + | IF,H          |  T           |         |    p2490 | Milwaukee Brewers    | +++
CF Calvillo, D     18|  66/ 87/ 86  62/ 67 -27/ -8 |  97 ( 88) | -2---646 | -- | CF,OF,H       |              |         | RF p3185 | Milwaukee Brewers    | ++-
SP Merryman, J     23|  81/ 88      86/ 78 -22/ -6 |  97 ( 88) |          |  + | SP,P          |  7   $500k r |         | MR  p939 | Milwaukee Brewers    | +++++
CF Montes, L       30|  92/ 92      92/ 92  -1/  0 |  96 ( 87) | -34--879 |  + | CF,OF,IF,H    |      $500k r | $673.2k | LF  p564 | Milwaukee Brewers    | **
CF Daniell, M      25|  74/ 88      81/ 73 -19/ -6 |  95 ( 86) | -2---763 |  + | CF,OF,H       |              |         | LF p3395 | Milwaukee Brewers    | +++
SP Franklin, R     27|  91/ 91      94/ 89 -12/ -3 |  95 ( 86) |          |  + | SP,P          |     $1.27M a |         |    p1514 | Milwaukee Brewers    | **^
3B Luong, J        27|  91/ 90      89/ 91  -2/ -2 |  95 ( 86) | -3-6---- | -+ | IF,H          |              |         |     p484 | Milwaukee Brewers    | *
SS Saldaña, E      28|  91/ 91      92/ 91  -2/ -1 |  95 ( 86) | -38-6--5 |    | SS,IF,OF,H    |      $500k r |         |     p255 | Milwaukee Brewers    | *^
MR Machado, I      30|  87/ 87     109/ 98  -2/  5 |  95 ( 86) |          | -+ | MR,P          |      $785k a |         |    p1841 | Milwaukee Brewers    | **^
SS Segura, J       36|  99/ 90     101/ 99   6/ -2 |  95 ( 86) | -37-7--- | -  | SS,IF,H       | F     $11M   |  $3.97M |     p405 | Milwaukee Brewers    | **^
SP Bise, G         24|  79/ 86      75/ 80 -24/ -8 |  94 ( 86) |          |  + | SP,P          |  3   $500k r |         | MR  p855 | Milwaukee Brewers    | +++++
3B Schmidt, R      26|  83/ 89      76/ 85 -10/ -3 |  94 ( 86) | -3-6---- | -  | IF,H          |              |         |     p746 | Milwaukee Brewers    | *
SS Alcantara, A    34|  95/ 94      91/ 96   2/  2 |  94 ( 86) | -3887353 | -- | SS,CF,IF,OF,H |     $3.42Mx2 |  $1.77M | 2B p2394 | Milwaukee Brewers    | ***
2B Wolfenbarger, E 20|  67/ 82/ 81  69/ 66 -26/-11 |  93 ( 85) | -25----- |  + | IF,H          |              |         |    p3288 | Milwaukee Brewers    | ++-
RF Arroyo, J       22|  68/ 83      60/ 70 -25/-11 |  93 ( 85) | -2---4-6 |  + | OF,H          |              |         |    p1705 | Milwaukee Brewers    | ++
MR Reed, C         32|  87/ 87      94/104  -2/  5 |  93 ( 85) |          |    | MR,P          | F    $710k   |         |    p4346 | Milwaukee Brewers    | *^
MR Shilling, N     21|  77/ 81      89/ 89 -13/ -1 |  92 ( 84) |          |  + | MR,P          |  2   $500k r |         |    p2543 | Milwaukee Brewers    | +++++
SP Tetsuyuki, H    28|  90/ 90      95/ 88 -13/ -4 |  92 ( 84) |          | +  | SP,P          |              |         | MR p1968 | Milwaukee Brewers    | *
RF Zuñiga, J       23|  72/ 84      74/ 71 -21/-10 |  91 ( 83) | -2---5-6 |  - | OF,H          |              |         | LF p1492 | Milwaukee Brewers    | ++
SP Meraz, J        18|  50/ 80/ 76  48/ 51 -53/-18 |  90 ( 82) |          |  + | SP,P          |              |         |    p2713 | Milwaukee Brewers    | ++-
CF Pierce, D       22|  74/ 80      70/ 75 -19/-14 |  90 ( 82) | -2---355 |  + | CF,OF,H       |              |         | RF p2922 | Milwaukee Brewers    | ++
 C Latimore, B     28|  81/ 81      86/ 80   2/  2 |  89 ( 81) | 6------- |  + | C,H           | F            |  $1.77M |    p1452 | Milwaukee Brewers    | *
SS Jimenez, F      21|  54/ 80/ 77  58/ 54 -39/-15 |  88 ( 80) | -37-8--- |  + | SS,IF,H       |              |         |    p3464 | Milwaukee Brewers    | ++-
1B Diaz, O         25|  80/ 81      79/ 80 -13/-13 |  88 ( 80) | -5------ |  + | H             | F            |         |     p751 | Milwaukee Brewers    | +-
